route,viewport,state,sourcePath,stagingPath,differencePath,sourceWidth,sourceHeight,stagingWidth,stagingHeight,dimensionsEqual,changedPixels,totalPixels,changedPixelPercent,meanAbsoluteChannelDelta,channelDeltaThreshold,allowedChangedPixelPercent,evidenceComplete
"/","desktop","header-initial","C:\Users\BGF\OneDrive\Documents\rkreno\.audit-cache\prompt-1-2\source\desktop\home\header-initial.png","C:\Users\BGF\OneDrive\Documents\rkreno\.audit-cache\prompt-1-2\staging\desktop\home\header-initial.png","C:\Users\BGF\OneDrive\Documents\rkreno\.audit-cache\prompt-1-2\differences\desktop\home\header-initial.png","1440","187","1440","187","true","19822","269280","7.361111111111112","8.93766587443058","24","0.5","true"
"/","desktop","header-sticky","C:\Users\BGF\OneDrive\Documents\rkreno\.audit-cache\prompt-1-2\source\desktop\home\header-sticky.png","C:\Users\BGF\OneDrive\Documents\rkreno\.audit-cache\prompt-1-2\staging\desktop\home\header-sticky.png","C:\Users\BGF\OneDrive\Documents\rkreno\.audit-cache\prompt-1-2\differences\desktop\home\header-sticky.png","1440","100","1440","100","true","7188","144000","4.991666666666666","6.022287037037037","24","0.5","true"
"/","desktop","dropdown-open","C:\Users\BGF\OneDrive\Documents\rkreno\.audit-cache\prompt-1-2\source\desktop\home\dropdown-open.png","C:\Users\BGF\OneDrive\Documents\rkreno\.audit-cache\prompt-1-2\staging\desktop\home\dropdown-open.png","C:\Users\BGF\OneDrive\Documents\rkreno\.audit-cache\prompt-1-2\differences\desktop\home\dropdown-open.png","340","458","340","458","true","18572","155720","11.926534806062163","13.593402688586352","24","0.5","true"
"/","desktop","footer","C:\Users\BGF\OneDrive\Documents\rkreno\.audit-cache\prompt-1-2\source\desktop\home\footer.png","C:\Users\BGF\OneDrive\Documents\rkreno\.audit-cache\prompt-1-2\staging\desktop\home\footer.png","C:\Users\BGF\OneDrive\Documents\rkreno\.audit-cache\prompt-1-2\differences\desktop\home\footer.png","1440","397","1440","397","true","93964","571680","16.436467954100195","25.558268028734023","24","0.5","true"
"/","desktop","floating-actions","C:\Users\BGF\OneDrive\Documents\rkreno\.audit-cache\prompt-1-2\source\desktop\home\floating-actions.png","C:\Users\BGF\OneDrive\Documents\rkreno\.audit-cache\prompt-1-2\staging\desktop\home\floating-actions.png","C:\Users\BGF\OneDrive\Documents\rkreno\.audit-cache\prompt-1-2\differences\desktop\home\floating-actions.png","1440","1000","1440","1000","true","220658","1440000","15.323472222222223","17.83279837962963","24","0.5","true"
"/","tablet","header-initial","C:\Users\BGF\OneDrive\Documents\rkreno\.audit-cache\prompt-1-2\source\tablet\home\header-initial.png","C:\Users\BGF\OneDrive\Documents\rkreno\.audit-cache\prompt-1-2\staging\tablet\home\header-initial.png","C:\Users\BGF\OneDrive\Documents\rkreno\.audit-cache\prompt-1-2\differences\tablet\home\header-initial.png","768","90","768","90","true","168","69120","0.24305555555555555","0.05573881172839506","24","0.5","true"
"/","tablet","header-sticky","C:\Users\BGF\OneDrive\Documents\rkreno\.audit-cache\prompt-1-2\source\tablet\home\header-sticky.png","C:\Users\BGF\OneDrive\Documents\rkreno\.audit-cache\prompt-1-2\staging\tablet\home\header-sticky.png","C:\Users\BGF\OneDrive\Documents\rkreno\.audit-cache\prompt-1-2\differences\tablet\home\header-sticky.png","768","90","768","90","true","168","69120","0.24305555555555555","0.05539641203703704","24","0.5","true"
"/","tablet","menu-open","C:\Users\BGF\OneDrive\Documents\rkreno\.audit-cache\prompt-1-2\source\tablet\home\menu-open.png","C:\Users\BGF\OneDrive\Documents\rkreno\.audit-cache\prompt-1-2\staging\tablet\home\menu-open.png","C:\Users\BGF\OneDrive\Documents\rkreno\.audit-cache\prompt-1-2\differences\tablet\home\menu-open.png","768","1024","768","1024","true","206932","786432","26.312764485677082","14.121868981255425","24","0.5","true"
"/","tablet","submenu-open","C:\Users\BGF\OneDrive\Documents\rkreno\.audit-cache\prompt-1-2\source\tablet\home\submenu-open.png","C:\Users\BGF\OneDrive\Documents\rkreno\.audit-cache\prompt-1-2\staging\tablet\home\submenu-open.png","C:\Users\BGF\OneDrive\Documents\rkreno\.audit-cache\prompt-1-2\differences\tablet\home\submenu-open.png","768","1024","768","1024","true","226584","786432","28.8116455078125","17.122074127197266","24","0.5","true"
"/","tablet","footer","C:\Users\BGF\OneDrive\Documents\rkreno\.audit-cache\prompt-1-2\source\tablet\home\footer.png","C:\Users\BGF\OneDrive\Documents\rkreno\.audit-cache\prompt-1-2\staging\tablet\home\footer.png","C:\Users\BGF\OneDrive\Documents\rkreno\.audit-cache\prompt-1-2\differences\tablet\home\footer.png","768","681","768","782","false","47974","600576","7.987998188405797","9.712730778452686","24","0.5","true"
